CityID;xCoord;yCoord;Population
City34301;-0.016597;-0.052886;5249
City100604;-0.12185;0.32223;5060
City60497;-0.41703;-0.065482;5016
City64144;-0.19324;0.034153;4500
City36717;-0.206393;0.215007;4341
City91265;-0.038925;0.27426;4170
City58698;-0.421155;-0.06028;3996
City18925;-0.33586;-0.023698;3732
City75603;-0.2023;0.181426;3707
City48843;0.06574;0.36615;3605
City63857;-0.180543;0.238633;3539
City26069;-0.020248;-0.288185;3510
City54212;-0.271527;-0.095582;3480
City66264;-0.179475;0.031908;3451
City102395;-0.149387;0.22922;3393
City59689;-0.164605;0.31157;3373
City49423;0.39765;-0.045838;3318
City9716;-0.2994;0.002397;3180
City88564;0.017388;-0.21237;3174
City97776;-0.1704;0.102371;3169
City29139;-0.19873;-0.28451;3134
City108380;0.107049;0.20915;3123
City99810;0.103963;0.235033;3026
City72696;-0.340153;-0.085735;3002
City62476;-0.031996;-0.25144;2990
City47852;-0.20844;0.231798;2909
City72927;-0.39071;-0.019312;2898
City53338;-0.039993;-0.048594;2837
City6103;0.03309;0.130098;2776
City14314;-0.18299;0.048166;2683
City6396;-0.14058;0.01815;2652
City14501;-0.127858;-0.028439;2620
City108627;0.156706;0.225037;2613
City69824;-0.261045;0.008713;2598
City19264;-0.186595;0.189099;2594
City28782;0.46758;0.225;2541
City96966;0.039133;0.168409;2493
City32838;0.084007;-0.29625;2483
City21893;-0.4301;0.005471;2357
City46236;-0.43353;-0.044673;2339
City81647;-0.288735;-0.095574;2304
City94256;-0.113367;-0.049169;2256
City103768;0.088439;0.22111;2248
City26868;-0.052593;0.073191;2247
City20079;0.006799;-0.057177;2192
City13121;-0.069401;0.162856;2158
City58432;-0.138403;0.020335;2158
City45929;-0.188793;0.04561;2129
City89310;-0.422993;-0.021649;2086
City35576;-0.141549;-0.024581;2055
City93988;-0.042027;0.220207;2035
City27619;-0.086581;-0.137145;2034
City109058;-0.088651;0.207795;2024
City102642;-0.146507;0.195097;2004
City63722;-0.198607;-0.043393;1973
City27687;-0.130352;-0.093451;1967
City104301;-0.198725;0.076848;1961
City14000;-0.45142;0.086828;1948
City29405;-0.124257;0.315983;1927
City24161;0.185225;0.078032;1926
City18057;-0.192596;0.043459;1908
City28627;0.065947;0.044784;1899
City27955;0.12566;0.19719;1874
City84978;0.025085;0.23096;1857
City102862;-0.414968;-0.068084;1857
City257;-0.204455;0.123254;1853
City70292;-0.164195;-0.083624;1843
City81275;-0.144843;-0.072721;1816
City59867;-0.119443;0.328477;1794
City105128;-0.068974;0.284003;1793
City52403;-0.311767;0.051735;1772
City35065;0.31796;0.042768;1768
City41807;-0.28777;-0.034084;1736
City93389;0.230325;-0.076424;1693
City32169;-0.22155;0.226365;1692
City73795;-0.28133;0.058972;1685
City63770;-0.11355;0.246265;1665
City66911;0.218815;0.05837;1655
City12005;-0.093574;-0.148825;1600
City47254;-0.008877;0.264517;1598
City41750;-0.033339;-0.30674;1593
City3379;-0.154534;-0.097444;1538
City8522;-0.041171;-0.282243;1514
City83786;0.265115;0.19507;1500
City74938;-0.160675;0.080473;1493
City14560;-0.16386;0.1096;1490
City4193;-0.08168;0.2636;1479
City93800;-0.14693;0.237645;1470
City92119;-0.117202;-0.133282;1469
City71863;0.25332;-0.18715;1468
City108502;0.106824;-0.193625;1450
City27162;-0.25983;-0.033;1442
City37643;-0.25437;-0.098044;1441
City37875;0.3263;-0.070427;1439
City66997;-0.171825;0.29283;1429
City90216;-0.103686;-0.13223;1416
City19969;-0.13863;0.16168;1402
City50644;-0.095987;0.18731;1398
City5429;-0.209668;0.241872;1395
City40452;-0.170495;0.16106;1387
City25174;0.114542;-0.214285;1375
City98265;-0.130016;-0.13436;1370
City51844;-0.16742;0.227229;1363
City98889;0.017933;-0.219087;1314
City72866;-0.31606;-0.010302;1306
City38635;-0.056785;0.208415;1304
City16332;-0.00105;0.21689;1297
City82894;0.19772;0.11408;1294
City62444;0.039896;0.016786;1290
City84531;-0.131888;-0.038401;1278
City101701;-0.181263;0.30177;1276
City47009;-0.41604;-0.24321;1271
City58711;-0.136758;-0.123297;1264
City71954;-0.031706;0.293;1261
City59035;0.196135;-0.19791;1258
City42415;-0.022822;-0.220637;1235
City15763;-0.27462;-0.073914;1232
City101854;0.112206;0.115103;1232
City45392;-0.118003;0.202203;1231
City17260;-0.32875;-0.089011;1204
City17;-0.21144;-0.013433;1182
City70375;-0.16617;0.108912;1174
City47885;0.007276;-0.195775;1173
City75774;0.067848;0.188045;1171
City36066;-0.191233;0.139436;1170
City55967;-0.384687;-0.000454;1169
City46664;0.23791;-0.096162;1159
City95801;-0.16686;0.077468;1152
City63808;0.016905;0.23838;1136
City105509;0.305675;-0.055286;1125
City72288;0.090193;0.092807;1114
City85964;-0.195172;0.006237;1114
